P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,24319134.0674,0.0000,0.0000,23117944.2174,22961535.7914,25473485.9084,0.0000,0.0000,0.0000,0.0000,20636615.2364,0.0000,23807172.1524,23838476.0264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22630486.1964,21600314.8714,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,24339789.3504,0.0000,0.0000,23134590.2784,22942203.6874,25494649.0474,0.0000,0.0000,0.0000,0.0000,20633718.4364,0.0000,23789954.6434,23828165.3924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22618362.9314,21608721.5094,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,24360456.1304,0.0000,0.0000,23151264.9934,22922903.3184,25515801.0674,0.0000,0.0000,0.0000,0.0000,20630918.8654,0.0000,23772780.3634,23817946.4554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22606270.5224,21617207.7354,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,24381136.1724,0.0000,0.0000,23167970.4334,22903634.7334,25536936.4474,0.0000,0.0000,0.0000,0.0000,20628216.6874,0.0000,23755648.3024,23807818.5274,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22594211.6324,21625773.5564,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,24401828.8604,0.0000,0.0000,23184705.7374,22884396.7174,25558056.5864,0.0000,0.0000,0.0000,0.0000,20625612.2314,0.0000,23738559.7354,23797785.7604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22582183.1044,21634418.1564,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,24422534.3114,0.0000,0.0000,23201469.6564,22865190.0164,25579161.2194,0.0000,0.0000,0.0000,0.0000,20623105.2974,0.0000,23721513.8914,23787844.3734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22570187.7424,21643141.8194,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,24443253.9284,0.0000,0.0000,23218260.9554,22846017.4814,25600250.0734,0.0000,0.0000,0.0000,0.0000,20620696.7254,0.0000,23704511.9534,23777997.7774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22558225.0264,21651943.3244,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,24463982.5054,0.0000,0.0000,23235081.9344,22826876.8054,25621323.9054,0.0000,0.0000,0.0000,0.0000,20618386.0154,0.0000,23687556.1834,23768244.9894,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22546293.9404,21660823.1234,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,24484720.9434,0.0000,0.0000,23251931.8244,22807768.6284,25642378.2864,0.0000,0.0000,0.0000,0.0000,20616173.7484,0.0000,23670645.6684,23758585.3284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22534395.2694,21669780.9174,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,24505470.2794,0.0000,0.0000,23268810.3114,22788692.6804,25663420.1794,0.0000,0.0000,0.0000,0.0000,20614059.9514,0.0000,23653779.0654,23749020.1334,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22522529.5154,21678815.6894,0.0000,0.0000,0.0000,0.0000
