P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,24096441.2184,0.0000,0.0000,24259800.4594,21803305.9734,25362406.5324,0.0000,24960724.9924,0.0000,0.0000,20351899.8494,0.0000,23319296.1754,23372135.8224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21839892.7504,22428513.5264,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,24117147.1254,0.0000,0.0000,24276684.6334,21787915.9594,25383290.1164,0.0000,24939150.3864,0.0000,0.0000,20350979.7034,0.0000,23305958.5154,23362144.6994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21831637.3874,22441751.0024,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,24137862.9774,0.0000,0.0000,24293579.6204,21772569.2504,25404156.6854,0.0000,24917592.7164,0.0000,0.0000,20350150.8924,0.0000,23292682.5854,23352246.4714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21823414.4734,22455048.2934,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,24158585.3414,0.0000,0.0000,24310481.6924,21757265.0904,25425001.4424,0.0000,24896049.3084,0.0000,0.0000,20349412.2964,0.0000,23279469.3764,23342443.5094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21815223.5264,22468402.1884,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,24179318.4304,0.0000,0.0000,24327396.9404,21742005.1524,25445828.1694,0.0000,24874523.1784,0.0000,0.0000,20348765.2344,0.0000,23266318.9984,23332732.0634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21807065.7814,22481815.2724,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,24200059.8404,0.0000,0.0000,24344321.2084,21726787.8314,25466638.6274,0.0000,24853011.8134,0.0000,0.0000,20348209.8334,0.0000,23253234.8574,23323115.4284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21798941.0994,22495287.2094,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,24220806.5894,0.0000,0.0000,24361254.5264,21711614.9904,25487426.9704,0.0000,24831519.2174,0.0000,0.0000,20347745.0744,0.0000,23240212.7864,23313593.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21790847.9694,22508814.6964,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,24241560.8814,0.0000,0.0000,24378197.0304,21696485.9994,25508195.7574,0.0000,24810043.5694,0.0000,0.0000,20347372.3524,0.0000,23227256.4394,23304165.3554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21782786.9794,22522399.8514,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,24262322.2964,0.0000,0.0000,24395148.7014,21681401.8224,25528947.6734,0.0000,24788584.7694,0.0000,0.0000,20347091.3084,0.0000,23214366.0304,23294833.1924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21774759.1984,22536042.5984,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,24283087.6514,0.0000,0.0000,24412107.5964,21666361.4004,25549674.2944,0.0000,24767143.7804,0.0000,0.0000,20346902.0604,0.0000,23201540.3794,23285597.1354,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21766763.2774,22549740.3034,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,24303858.8154,0.0000,0.0000,24429078.0204,21651365.6194,25570379.0064,0.0000,24745720.6384,0.0000,0.0000,20346804.8834,0.0000,23188781.5594,23276455.8964,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21758800.3764,22563495.1694,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000,0.0000,24324636.6504,0.0000,0.0000,24446058.8934,21636415.6924,25591067.0284,0.0000,24724320.3914,0.0000,0.0000,20346802.1604,0.0000,23176091.9084,23267412.8914,0.0000,0.0000,0.0000,25536152.5144,0.0000,0.0000,0.0000,0.0000,21750871.6604,22577306.5544,0.0000,0.0000,0.0000,0.0000
13,0.0000,0.0000,0.0000,0.0000,24345417.0074,0.0000,0.0000,24463046.3364,21621509.5734,25611730.4134,0.0000,24702935.1074,0.0000,0.0000,20346889.3274,0.0000,23163468.3304,23258462.3644,0.0000,0.0000,0.0000,25520181.4594,0.0000,0.0000,0.0000,0.0000,21742973.1864,22591171.1994,0.0000,0.0000,0.0000,0.0000
14,0.0000,0.0000,0.0000,0.0000,24366199.3014,0.0000,0.0000,24480042.9384,21606648.2584,25632370.2634,0.0000,24681569.9754,0.0000,0.0000,20347069.4044,0.0000,23150912.8794,23249607.8584,0.0000,0.0000,0.0000,25504269.0654,0.0000,0.0000,0.0000,0.0000,21735106.9364,22605089.7644,0.0000,0.0000,0.0000,0.0000
