P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,25084681.8930,0.0000,0.0000,23171333.6560,22523454.8970,0.0000,0.0000,0.0000,0.0000,0.0000,20545133.9680,0.0000,24190393.7270,23032459.6760,0.0000,0.0000,0.0000,24937060.6250,0.0000,0.0000,0.0000,0.0000,22254798.5530,21489533.2770,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,25106390.9450,0.0000,0.0000,23189792.4990,22503139.0260,0.0000,0.0000,0.0000,0.0000,0.0000,20546384.2050,0.0000,24171707.9670,23025019.9330,0.0000,0.0000,0.0000,24921211.2510,0.0000,0.0000,0.0000,0.0000,22242064.3710,21496186.9290,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,25128098.5510,0.0000,0.0000,23208285.5270,22482865.2360,0.0000,0.0000,0.0000,0.0000,0.0000,20547738.4690,0.0000,24153056.3410,23017682.4990,0.0000,0.0000,0.0000,24905427.8120,0.0000,0.0000,0.0000,0.0000,22229373.8580,21502929.8480,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,25149808.0990,0.0000,0.0000,23226812.0860,22462633.4750,0.0000,0.0000,0.0000,0.0000,0.0000,20549196.7990,0.0000,24134440.3000,23010449.7390,0.0000,0.0000,0.0000,24889705.0120,0.0000,0.0000,0.0000,0.0000,22216727.6460,21509762.0790,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,25171517.0770,0.0000,0.0000,23245370.6730,22442444.8520,0.0000,0.0000,0.0000,0.0000,0.0000,20550759.2990,0.0000,24115858.5650,23003319.2450,0.0000,0.0000,0.0000,24874048.5160,0.0000,0.0000,0.0000,0.0000,22204124.9360,21516682.9200,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,25193222.1940,0.0000,0.0000,23263964.5350,22422299.8240,0.0000,0.0000,0.0000,0.0000,0.0000,20552425.8880,0.0000,24097313.9960,22996293.2560,0.0000,0.0000,0.0000,24858456.8240,0.0000,0.0000,0.0000,0.0000,22191566.3310,21523692.3670,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,25214924.5230,0.0000,0.0000,23282589.7170,22402198.1330,0.0000,0.0000,0.0000,0.0000,0.0000,20554196.8950,0.0000,24078806.0160,22989371.9870,0.0000,0.0000,0.0000,24842928.1080,0.0000,0.0000,0.0000,0.0000,22179052.0720,21530790.1400,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,25236622.5080,0.0000,0.0000,23301247.5590,22382140.2360,0.0000,0.0000,0.0000,0.0000,0.0000,20556071.9710,0.0000,24060335.4230,22982554.1920,0.0000,0.0000,0.0000,24827468.0430,0.0000,0.0000,0.0000,0.0000,22166582.5550,21537976.0140,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,25258317.7060,0.0000,0.0000,23319938.0940,22362126.4180,0.0000,0.0000,0.0000,0.0000,0.0000,20558051.4050,0.0000,24041902.0450,22975841.7570,0.0000,0.0000,0.0000,24812072.5300,0.0000,0.0000,0.0000,0.0000,22154157.7030,21545249.6330,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23338660.9500,22342157.3100,0.0000,0.0000,0.0000,0.0000,0.0000,20560134.9820,0.0000,24023507.2980,22969233.6380,0.0000,0.0000,0.0000,24796743.7930,0.0000,0.0000,0.0000,0.0000,22141777.4320,21552610.7210,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23357415.2720,22322232.6430,0.0000,0.0000,0.0000,0.0000,0.0000,20562323.1220,0.0000,24005152.0510,22962731.1030,0.0000,0.0000,0.0000,24781483.9870,0.0000,0.0000,0.0000,0.0000,22129441.9620,21560059.1380,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23376202.7640,22302354.5110,0.0000,0.0000,0.0000,0.0000,0.0000,20564615.5360,0.0000,23986835.8320,22956333.3680,0.0000,0.0000,0.0000,24766290.8780,0.0000,0.0000,0.0000,0.0000,22117151.3460,21567594.3960,0.0000,0.0000,0.0000,0.0000
13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23395020.7150,22282520.9070,0.0000,0.0000,0.0000,0.0000,0.0000,20567012.1480,0.0000,23968559.7280,22950041.9000,0.0000,0.0000,0.0000,24751165.9430,0.0000,0.0000,0.0000,0.0000,22104906.2790,21575216.5380,0.0000,0.0000,0.0000,0.0000
14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23413867.7830,22262734.2920,0.0000,0.0000,0.0000,0.0000,0.0000,20569513.3470,0.0000,23950323.7510,22943855.6760,0.0000,0.0000,0.0000,24736107.2240,0.0000,0.0000,0.0000,0.0000,22092706.0020,21582924.9550,0.0000,0.0000,0.0000,0.0000
15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23432747.7970,22242992.6070,0.0000,0.0000,0.0000,0.0000,0.0000,20572118.7130,0.0000,23932128.6090,22937775.1290,0.0000,0.0000,0.0000,24721119.7520,0.0000,0.0000,0.0000,0.0000,22080551.4620,21590719.6500,0.0000,0.0000,0.0000,0.0000
16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23451657.4180,22223298.3890,0.0000,0.0000,0.0000,0.0000,0.0000,20574828.7740,0.0000,23913976.2740,22931801.4030,0.0000,0.0000,0.0000,24706200.7850,0.0000,0.0000,0.0000,0.0000,22068442.3120,21598600.2700,0.0000,0.0000,0.0000,0.0000
17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23470597.0370,22203651.5830,0.0000,0.0000,0.0000,0.0000,0.0000,20577642.9200,0.0000,23895865.3130,22925934.1690,0.0000,0.0000,0.0000,24691350.2380,0.0000,0.0000,0.0000,0.0000,22056379.1370,21606566.3060,0.0000,0.0000,0.0000,0.0000
18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23489568.1130,22184051.1710,0.0000,0.0000,0.0000,0.0000,0.0000,20580561.5730,0.0000,23877797.5560,22920173.1230,0.0000,0.0000,0.0000,24676573.1000,0.0000,0.0000,0.0000,0.0000,22044361.1280,21614617.4320,0.0000,0.0000,0.0000,0.0000
19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23508567.9910,22164498.9420,0.0000,0.0000,0.0000,0.0000,0.0000,20583584.6010,0.0000,23859773.6790,22914518.9590,0.0000,0.0000,0.0000,24661864.4240,0.0000,0.0000,0.0000,0.0000,22032389.8780,21622753.9060,0.0000,0.0000,0.0000,0.0000
20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23527597.8880,22144995.1770,0.0000,0.0000,0.0000,0.0000,0.0000,20586712.0880,0.0000,23841793.2290,22908972.6480,0.0000,0.0000,0.0000,24647227.6870,0.0000,0.0000,0.0000,0.0000,22020463.8530,21630975.1620,0.0000,0.0000,0.0000,0.0000
21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23546656.4990,22125538.9380,0.0000,0.0000,0.0000,0.0000,0.0000,20589943.9590,0.0000,23823857.5130,22903532.5450,0.0000,0.0000,0.0000,24632663.5430,0.0000,0.0000,0.0000,0.0000,22008584.4740,21639280.6430,0.0000,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23565743.9040,22106132.3090,0.0000,0.0000,0.0000,0.0000,0.0000,20593280.0530,0.0000,23805966.5200,22898200.2340,0.0000,0.0000,0.0000,24618170.3530,0.0000,0.0000,0.0000,0.0000,21996751.7300,21647670.3360,0.0000,0.0000,0.0000,0.0000
23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23584861.3350,22086773.8340,0.0000,0.0000,0.0000,0.0000,0.0000,20596720.4500,0.0000,23788120.8600,22892975.1940,0.0000,0.0000,0.0000,24603750.5050,0.0000,0.0000,0.0000,0.0000,21984965.2510,21656144.0640,0.0000,0.0000,0.0000,0.0000
24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23604005.6140,22067465.9850,0.0000,0.0000,0.0000,0.0000,0.0000,20600265.2380,0.0000,23770321.7020,22887858.0870,0.0000,0.0000,0.0000,24589403.3100,0.0000,0.0000,0.0000,0.0000,21973225.4520,21664700.9350,0.0000,0.0000,0.0000,0.0000
25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23623178.7950,22048207.4000,0.0000,0.0000,0.0000,0.0000,0.0000,20603914.3130,0.0000,23752569.8670,22882849.0360,0.0000,0.0000,0.0000,24575128.1370,0.0000,0.0000,0.0000,0.0000,21961532.2180,21673341.2220,0.0000,0.0000,0.0000,0.0000
26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23642379.1050,22028999.5830,0.0000,0.0000,0.0000,0.0000,0.0000,20607667.7510,0.0000,23734863.8930,22877948.1960,0.0000,0.0000,0.0000,24560927.9290,0.0000,0.0000,0.0000,0.0000,21949885.7320,21682064.3400,0.0000,0.0000,0.0000,0.0000
27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23661608.8250,22009841.7380,0.0000,0.0000,0.0000,0.0000,0.0000,20611525.2150,0.0000,23717207.7680,22873155.6400,0.0000,0.0000,0.0000,24546803.2840,0.0000,0.0000,0.0000,0.0000,21938286.7660,21690869.8560,0.0000,0.0000,0.0000,0.0000
28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23680865.2570,21990734.8670,0.0000,0.0000,0.0000,0.0000,0.0000,20615486.9770,0.0000,23699597.7900,22868470.9530,0.0000,0.0000,0.0000,24532752.3620,0.0000,0.0000,0.0000,0.0000,21926734.4370,21699758.1500,0.0000,0.0000,0.0000,0.0000
29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23700148.4580,21971679.2200,0.0000,0.0000,0.0000,0.0000,0.0000,20619552.9530,0.0000,23682038.2900,22863895.6300,0.0000,0.0000,0.0000,24518776.8440,0.0000,0.0000,0.0000,0.0000,21915229.5370,21708728.4040,0.0000,0.0000,0.0000,0.0000
30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23719458.7590,21952675.0460,0.0000,0.0000,0.0000,0.0000,0.0000,20623722.9700,0.0000,23664528.1850,22859428.3550,0.0000,0.0000,0.0000,24504876.8680,0.0000,0.0000,0.0000,0.0000,21903772.0760,21717780.4570,0.0000,0.0000,0.0000,0.0000
