P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,23263524.2540,0.0000,0.0000,21907135.9990,21585130.5520,24461988.8760,0.0000,0.0000,0.0000,0.0000,19347775.6080,0.0000,22796053.7520,22321474.6720,24678011.6040,0.0000,0.0000,24462410.6850,0.0000,0.0000,0.0000,0.0000,21258516.0070,20339859.7510,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,23280918.0780,0.0000,0.0000,21920731.0550,21561711.6910,24479666.3250,0.0000,0.0000,0.0000,0.0000,19342391.9940,0.0000,22774553.1430,22308006.7910,24689478.8360,0.0000,0.0000,24441936.7360,0.0000,0.0000,0.0000,0.0000,21242472.5000,20343838.2770,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,23298323.1840,0.0000,0.0000,21934356.6860,21538327.6740,24497327.6560,0.0000,0.0000,0.0000,0.0000,19337107.4900,0.0000,22753090.6410,22294634.4160,24701012.4450,0.0000,0.0000,24421515.0090,0.0000,0.0000,0.0000,0.0000,21226465.6440,20347900.8310,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,23315737.8440,0.0000,0.0000,21948012.7740,21514978.4620,24514971.8540,0.0000,0.0000,0.0000,0.0000,19331922.3410,0.0000,22731666.1180,22281357.8990,0.0000,0.0000,0.0000,24401145.8940,0.0000,0.0000,0.0000,0.0000,21210495.3900,20352047.0320,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,23333163.2580,0.0000,0.0000,21961700.9330,21491665.8520,24532598.1270,0.0000,0.0000,0.0000,0.0000,19326837.4740,0.0000,22710281.0100,22268177.0240,0.0000,0.0000,0.0000,24380830.8670,0.0000,0.0000,0.0000,0.0000,21194562.1490,20356277.5930,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,23350597.4550,0.0000,0.0000,21975418.5230,21468388.3310,24550207.0610,0.0000,0.0000,0.0000,0.0000,19321851.9710,0.0000,22688934.6930,22255091.7720,0.0000,0.0000,0.0000,24360569.1650,0.0000,0.0000,0.0000,0.0000,21178665.4020,20360590.9320,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,23368041.0780,0.0000,0.0000,21989166.8550,21445147.4790,24567798.1470,0.0000,0.0000,0.0000,0.0000,19316966.6050,0.0000,22667628.0650,22242103.4900,0.0000,0.0000,0.0000,24340362.7240,0.0000,0.0000,0.0000,0.0000,21162805.7750,20364987.5560,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,23385493.3260,0.0000,0.0000,22002945.9860,21421944.1780,24585370.4400,0.0000,0.0000,0.0000,0.0000,19312182.1360,0.0000,22646362.4740,22229212.2680,0.0000,0.0000,0.0000,24320211.4250,0.0000,0.0000,0.0000,0.0000,21146983.8940,20369467.1920,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,23402954.5320,0.0000,0.0000,22016754.9600,21398778.0850,24602925.3640,0.0000,0.0000,0.0000,0.0000,19307498.3500,0.0000,22625138.6630,22216419.0040,0.0000,0.0000,0.0000,24300116.0010,0.0000,0.0000,0.0000,0.0000,21131199.5430,20374030.3960,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,23420422.4300,0.0000,0.0000,22030592.6920,21375648.9740,24620459.9310,0.0000,0.0000,0.0000,0.0000,19302914.9640,0.0000,22603956.8260,22203723.4620,0.0000,0.0000,0.0000,24280076.5020,0.0000,0.0000,0.0000,0.0000,21115452.1350,20378675.3530,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,23437896.7060,0.0000,0.0000,22044460.5500,21352557.4730,24637974.3360,0.0000,0.0000,0.0000,0.0000,19298431.8500,0.0000,22582816.7790,22191125.4290,0.0000,0.0000,0.0000,24260093.9330,0.0000,0.0000,0.0000,0.0000,21099742.0530,20383402.0900,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000,0.0000,23455376.9700,0.0000,0.0000,22058357.0490,21329502.2800,24655468.3640,0.0000,0.0000,0.0000,0.0000,19294048.9410,0.0000,22561718.7450,22178623.9960,0.0000,0.0000,0.0000,24240167.3760,0.0000,0.0000,0.0000,0.0000,21084068.5830,20388209.8570,0.0000,0.0000,0.0000,0.0000
13,0.0000,0.0000,0.0000,0.0000,23472862.6950,0.0000,0.0000,22072282.1010,21306485.4090,24672939.8460,0.0000,0.0000,0.0000,0.0000,19289766.6760,0.0000,22540664.3080,22166220.6270,0.0000,0.0000,0.0000,24220297.9050,0.0000,0.0000,0.0000,0.0000,21068432.7700,20393098.4960,0.0000,0.0000,0.0000,0.0000
