P1_Epoch,P1_sv_1,P1_sv_2,P1_sv_3,P1_sv_4,P1_sv_5,P1_sv_6,P1_sv_7,P1_sv_8,P1_sv_9,P1_sv_10,P1_sv_11,P1_sv_12,P1_sv_13,P1_sv_14,P1_sv_15,P1_sv_16,P1_sv_17,P1_sv_18,P1_sv_19,P1_sv_20,P1_sv_21,P1_sv_22,P1_sv_23,P1_sv_24,P1_sv_25,P1_sv_26,P1_sv_27,P1_sv_28,P1_sv_29,P1_sv_30,P1_sv_31,P1_sv_32
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23506300.9094,22262317.8024,0.0000,0.0000,0.0000,0.0000,0.0000,20449552.4694,0.0000,23794067.4824,23204295.0324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22086665.9094,21731782.1224,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,24728342.8564,0.0000,0.0000,23524327.8664,22243565.5374,0.0000,0.0000,0.0000,0.0000,0.0000,20449860.5074,0.0000,23777045.7694,23195849.4924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22075389.3654,21741044.8334,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,24749706.0154,0.0000,0.0000,23542375.9294,22224854.2264,0.0000,0.0000,0.0000,0.0000,0.0000,20450267.8894,0.0000,23760067.7034,23187504.3074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22064152.4834,21750387.1124,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,24771071.9104,0.0000,0.0000,23560451.3804,22206187.0624,0.0000,0.0000,0.0000,0.0000,0.0000,20450775.6124,0.0000,23743139.2564,23179259.5114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22052955.8524,21759809.0234,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000,24792440.9944,0.0000,0.0000,23578551.4404,22187562.4354,0.0000,0.0000,0.0000,0.0000,0.0000,20451382.7814,0.0000,23726254.7854,23171114.6244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22041800.3204,21769309.6214,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000,24813810.4684,0.0000,0.0000,23596676.4424,22168981.5534,0.0000,0.0000,0.0000,0.0000,0.0000,20452090.0314,0.0000,23709417.1474,23163069.5624,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22030684.4374,21778888.5544,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,24835179.4884,0.0000,0.0000,23614825.6514,22150443.4624,0.0000,0.0000,0.0000,0.0000,0.0000,20452897.3794,0.0000,23692625.7684,23155124.5294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22019609.1814,21788545.8254,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000,24856549.2484,0.0000,0.0000,23632997.6884,22131949.8564,0.0000,0.0000,0.0000,0.0000,0.0000,20453805.1894,0.0000,23675885.3194,23147280.7494,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22008574.9324,21798281.7234,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,24877925.4004,0.0000,0.0000,23651193.3124,22113501.2984,0.0000,0.0000,0.0000,0.0000,0.0000,20454813.2004,0.0000,23659190.6814,23139540.1504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21997581.0534,21808094.8524,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,24899293.0904,0.0000,0.0000,23669411.5624,22095096.9984,0.0000,0.0000,0.0000,0.0000,0.0000,20455921.3294,0.0000,23642547.7274,23131899.2324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21986627.9044,21817985.5874,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000,24920662.3424,0.0000,0.0000,23687655.7674,22076737.4064,0.0000,0.0000,0.0000,0.0000,0.0000,20457130.4124,0.0000,23625953.6134,23124361.2474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21975715.0114,21827953.8744,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000,0.0000,24942034.0734,0.0000,0.0000,23705920.8624,22058423.5504,0.0000,0.0000,0.0000,0.0000,0.0000,20458439.2894,0.0000,23609410.2474,23116923.2294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21964842.7604,21837997.9314,0.0000,0.0000,0.0000,0.0000
