Epoch/SVN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Epoch 1,10578.472594,15418.931828,-22313.576588,9593.075460,25912.332600,-21986.636309,-6646.310600,1113.592394,14538.574249,24436.106702,-11876.837812,21895.852678,680.606655,-14411.547370,18409.291535,-23465.746830,15526.147881,3642.077479,-17489.474402,-18317.423899,2826.672105,-10015.713018,-9610.402717,13416.137094,-8517.394168,-7755.334453,15676.244200,7225.598361,2718.302688,12312.853972,-10024.012095,-24663.291943
Epoch 2,10648.257317,15396.611030,-22345.614053,9566.012769,25892.358056,-22009.782768,-6656.292467,1088.967600,14528.704490,24398.683395,-11885.723870,21933.317018,635.779938,-14396.451623,18456.402826,-23421.761481,15511.594223,3719.453375,-17534.086751,-18366.676571,2846.316075,-9939.596715,-9666.743292,13414.967991,-8520.270262,-7720.321821,15664.223904,7147.053034,2770.086342,12376.521713,-9997.398017,-24687.225594
Epoch 3,10717.840242,15374.413802,-22377.501319,9539.106725,25872.069914,-22032.774354,-6666.155942,1064.536733,14518.861215,24360.985114,-11894.656682,21970.459687,590.721025,-14381.109658,18503.494342,-23377.507944,15496.801175,3796.724705,-17578.719959,-18415.650867,2865.824877,-9863.416002,-9723.211396,13413.730266,-8523.109987,-7685.042766,15652.265184,7068.478669,2822.067287,12439.966931,-9970.958575,-24710.817501
Epoch 4,10787.220017,15352.340717,-22409.236964,9512.357207,25851.468953,-22055.609649,-6675.902318,1040.299170,14509.045808,24323.012934,-11903.637230,22007.280161,545.430206,-14365.520639,18550.564528,-23332.987428,15481.767914,3873.889896,-17623.372593,-18464.346027,2885.199482,-9787.172573,-9779.805882,13412.425307,-8525.914772,-7649.497015,15640.369252,6989.876998,2874.244893,12503.188485,-9944.693774,-24734.067388
Epoch 5,10856.395296,15330.392343,-22440.819574,9485.764089,25830.555958,-22078.287240,-6685.532894,1016.254275,14499.259648,24284.767940,-11912.666492,22043.777924,499.907783,-14349.683741,18597.611828,-23288.201151,15466.493627,3950.947377,-17668.043213,-18512.761299,2904.440865,-9710.868120,-9836.525596,13411.054499,-8528.686044,-7613.684303,15628.537309,6911.249753,2926.618521,12566.185242,-9918.603610,-24756.974994
Epoch 6,10925.364739,15308.569233,-22472.247733,9459.327232,25809.331727,-22100.805713,-6695.048971,992.401405,14489.504110,24246.251224,-11921.745441,22079.952471,454.154068,-14333.598146,18644.634681,-23243.150340,15450.977508,4027.895584,-17712.730377,-18560.895944,2923.550010,-9634.504338,-9893.369377,13409.619232,-8531.425233,-7577.604380,15616.770554,6832.598668,2979.187519,12628.956076,-9892.688065,-24779.540067
Epoch 7,10994.127016,15286.871937,-22503.520031,9433.046490,25787.797066,-22123.163659,-6704.451857,968.739906,14479.780562,24207.463884,-11930.875045,22115.803309,408.169382,-14317.263047,18691.631526,-23197.836228,15435.218759,4104.732954,-17757.432640,-18608.749228,2942.527906,-9558.082920,-9950.336055,13408.120893,-8534.133768,-7541.257007,15605.070176,6753.925475,3031.951229,12691.499870,-9866.947114,-24801.762369
Epoch 8,11062.680803,15265.300991,-22534.635060,9406.921706,25765.952790,-22145.359673,-6713.742860,945.269115,14470.090372,24168.407030,-11940.056266,22151.329955,361.954061,-14300.677644,18738.600799,-23152.260056,15419.216590,4181.457931,-17802.148549,-18656.320429,2961.375546,-9481.605563,-10007.424452,13406.560869,-8536.813077,-7504.641954,15593.437361,6675.231906,3084.908979,12753.815515,-9841.380720,-24823.641672
Epoch 9,11131.024784,15243.856924,-22565.591416,9380.952714,25743.799724,-22167.392350,-6722.923297,921.988358,14460.434901,24129.081775,-11949.290063,22186.531938,315.508448,-14283.841148,18785.540931,-23106.423075,15402.970221,4258.068962,-17846.876649,-18703.608835,2980.093933,-9405.073963,-10064.633384,13404.940550,-8539.464590,-7467.759007,15581.873285,6596.519692,3138.060091,12815.901909,-9815.988835,-24845.177759
Epoch 10,11199.157651,15222.540255,-22596.387696,9355.139339,25721.338703,-22189.260292,-6731.994484,898.896952,14450.815505,24089.489244,-11958.577387,22221.408798,268.832899,-14266.752776,18832.450354,-23060.326541,15386.478880,4334.564498,-17891.615481,-18750.613744,2998.684072,-9328.489816,-10121.961656,13403.261325,-8542.089734,-7430.607959,15570.379121,6517.790567,3191.403874,12877.757960,-9790.771401,-24866.370425
